utc_date_time,latitude,longitude,osm_way_id,gh_edge_id,temperature,relative_humidity,calculated_heat_index,wet_bulb_temp,wind_speed
2025-10-21 17:56:56.001000+00:00,33.771279,-84.395986,924968764,80615,25.27777777777778,42.3,25.12169444444445,16.72222222222222,2.5
2025-10-21 17:58:23.002000+00:00,33.77076988448297,-84.39598899768966,1384223474,105640,26.999999999999996,43.1,27.02307833869783,18.22222222222222,1.2
2025-10-21 17:58:55.002000+00:00,33.77033811491029,-84.39599099835841,1384223474,105642,27.88888888888889,42.5,27.738497828777806,18.77777777777778,0.9
2025-10-21 17:59:29.003000+00:00,33.76986958442315,-84.39599100087673,1384223474,105642,26.11111111111111,40.6,25.974499999999995,17.11111111111111,3.2
2025-10-21 18:00:07.002000+00:00,33.76939610615319,-84.39599199977606,1384223474,105642,26.166666666666664,42.3,26.05502777777777,17.27777777777778,0.8
2025-10-21 18:00:37.002000+00:00,33.76895019965227,-84.39597800658194,1384223474,105644,27.61111111111111,42.5,27.49223020606937,18.5,0.0
2025-10-21 18:01:12.003000+00:00,33.76848715668964,-84.39598599633474,1384225165,105660,28.444444444444443,41.8,28.20812781267562,19.111111111111114,1.6
2025-10-21 18:01:47.002000+00:00,33.768028588084,-84.3959959871877,1384225165,105660,27.16666666666667,39.4,26.955600383475616,17.61111111111111,2.6
2025-10-21 18:02:27.002000+00:00,33.767571146337254,-84.3959989993318,1384225162,105655,27.944444444444443,40.0,27.616107429055525,18.277777777777782,0.8
2025-10-21 18:03:00.002000+00:00,33.767117676515625,-84.39600000161339,1384225162,105655,27.38888888888889,40.7,27.19779778352277,18.111111111111107,2.3
2025-10-21 18:03:37.003000+00:00,33.766652,-84.396007,1384225164,105658,27.277777777777775,40.1,27.077032077656153,17.88888888888889,1.0
2025-10-21 18:04:10.002000+00:00,33.76619903033277,-84.396013,1384225163,105656,25.666666666666668,41.0,25.513055555555557,16.77777777777778,3.8
2025-10-21 18:04:43.002000+00:00,33.7657405377436,-84.3960200147386,1384225163,105657,27.444444444444446,42.4,27.34392472840894,18.5,1.0
2025-10-21 18:05:16.002000+00:00,33.76527769286535,-84.39604509186485,1049719560,86259,27.666666666666668,41.8,27.49491190227559,18.5,1.2
2025-10-21 18:05:51.003000+00:00,33.764814116610495,-84.39605299810609,1049719560,86260,26.833333333333332,40.4,26.76233097935779,17.5,6.0
2025-10-21 18:06:23.002000+00:00,33.764356141807696,-84.39604600292387,1389217883,122380,27.11111111111111,40.7,26.981694449664506,17.77777777777778,1.5
2025-10-21 18:06:57.002000+00:00,33.763891642825506,-84.39603499007849,1389217883,122380,26.666666666666668,40.5,26.556527777777777,17.5,2.1
2025-10-21 18:09:34.001000+00:00,33.76205442817598,-84.39520871462032,1392240400,125318,25.555555555555557,43.9,25.434250000000002,17.22222222222222,1.7
2025-10-21 18:10:13.001000+00:00,33.76234673411282,-84.39561201765441,907536729,79428,25.27777777777778,44.1,25.145194444444442,17.0,0.8
2025-10-21 18:11:13+00:00,33.763071485683035,-84.39625157409836,1384511423,107134,24.61111111111111,45.3,24.46086111111111,16.72222222222222,2.1
2025-10-21 18:11:44+00:00,33.76354492157633,-84.396257,1361234923,101174,24.88888888888889,45.1,24.749916666666664,16.77777777777778,2.1
2025-10-21 18:12:16.001000+00:00,33.76400331271248,-84.39625199533265,1361234923,101172,25.500000000000004,46.9,25.415083333333335,17.72222222222222,0.8
2025-10-21 18:12:52+00:00,33.76446844364136,-84.39627596242757,1389130707,122226,25.611111111111107,47.1,25.53436111111111,17.77777777777778,0.0
2025-10-21 18:14:51+00:00,33.764929740568626,-84.39624699329057,1361234943,101191,25.611111111111107,47.0,25.53305555555555,17.77777777777778,0.8
2025-10-21 18:15:24+00:00,33.765348,-84.396242,1384226893,105711,26.055555555555557,47.4,26.004944444444448,18.22222222222222,1.5
2025-10-21 18:15:56+00:00,33.76583188945191,-84.39623600280191,1384510186,107129,25.27777777777778,45.5,25.163472222222225,17.27777777777778,1.4
2025-10-21 18:16:28+00:00,33.76629795134247,-84.39622900139821,1384510183,107125,25.611111111111107,47.1,25.53436111111111,17.77777777777778,2.6
2025-10-21 18:17:03+00:00,33.766751437431274,-84.39621498674451,1384510183,107124,25.555555555555557,46.2,25.46427777777778,17.61111111111111,0.8
2025-10-21 18:17:33+00:00,33.76719568205423,-84.39621099886448,1384510183,107123,25.444444444444443,46.3,25.348916666666668,17.61111111111111,0.8
2025-10-21 18:18:07+00:00,33.767659,-84.396215,1384510183,107123,25.38888888888889,46.2,25.28927777777778,17.5,0.0
2025-10-21 18:18:39+00:00,33.768117976120706,-84.3962420001413,1388098913,115990,25.666666666666668,45.9,25.577027777777783,17.72222222222222,1.5
2025-10-21 18:19:11+00:00,33.76858013792787,-84.39619399686526,1388098913,115990,25.444444444444443,45.0,25.331944444444442,17.27777777777778,1.9
2025-10-21 18:19:45+00:00,33.769044788971726,-84.39628595371954,1388098913,115988,25.0,45.0,24.865277777777774,16.88888888888889,1.8
2025-10-21 18:20:20+00:00,33.769504507200054,-84.39624087923809,1388098913,115988,25.166666666666668,46.3,25.057249999999996,17.27777777777778,0.8
2025-10-21 18:20:55+00:00,33.76996459037368,-84.39623199164028,1388098919,116002,25.0,46.3,24.88225,17.22222222222222,0.0
2025-10-21 18:22:28.999000+00:00,33.771242642031616,-84.39626198796745,1317656142,97884,24.555555555555557,46.8,24.42211111111111,16.88888888888889,1.3
2025-10-21 18:22:31.413000+00:00,33.77125261423176,-84.39626826489582,1222367312,93821,24.555555555555557,46.8,24.42211111111111,16.88888888888889,1.3
