Waypoints
Date,Name,Latitude,Longitude,Altitude (m),Notes
2025-10-02T17:03:44Z,Start,33.78677, -84.39207,270.75832748413086,"",""
2025-10-02T18:19:10Z,End,33.78651, -84.39207,270.5471465084702,"",""
Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2025-10-02T17:03:44Z,2025-10-02T13:03:44Z,0.0,33.78677, -84.39207,3.5355339059327373,270.75832748413086,3.0,0.0,0.0,0.0,-1.0,177.86056518554688,183.47203063964844,11.56005859375,0.12936049530643606,0.0
2025-10-02T17:03:45Z,2025-10-02T13:03:45Z,0.0,33.78677, -84.39207,3.5355339059327373,270.8724021911621,3.0,0.0,0.0,0.0,-1.0,184.9036407470703,190.51510620117188,11.532392501831055,0.13792923842080154,0.0
2025-10-02T17:04:32Z,2025-10-02T13:04:32Z,47.01131308078766,33.78678, -84.39218,12.16360800660757,267.7616901099682,6.933731619605277,10.147803687270384,1.0549884668330598,1.4139346817989147,299.21619451030364,256.8606872558594,262.4721374511719,10.868139266967773,-34.87797152751816,0.0
2025-10-02T17:04:38Z,2025-10-02T13:04:38Z,53.01515603065491,33.78676, -84.39229,10.896090116479433,268.0583068318665,6.491464018667926,20.533170177311863,1.46582122069092,1.7274128050447872,261.3669222598653,232.7744903564453,238.38595581054688,10.862600326538086,-42.94861834732483,0.0
2025-10-02T17:04:45Z,2025-10-02T13:04:45Z,60.01218104362488,33.78676, -84.39240,9.164577873778178,268.2020016312599,5.5108824906119045,30.59046237583563,1.1981056497794085,1.5748321278587831,261.21182309622225,232.7744903564453,238.38595581054688,10.862600326538086,-33.53244333628591,0.0
2025-10-02T17:04:51Z,2025-10-02T13:04:51Z,66.01394605636597,33.78677, -84.39251,7.967697536410294,267.521932403557,5.270012698633827,40.62620645383172,1.5536829422855183,1.610487609994835,270.90084789660494,232.7744903564453,238.38595581054688,10.862600326538086,-49.60718114521973,0.0
2025-10-02T17:04:59Z,2025-10-02T13:04:59Z,74.01260197162628,33.78675, -84.39262,6.522290239325896,268.17863299977034,3.712977811489525,50.80312107053045,1.422871038003785,1.5878845611614008,267.91053047943285,232.7744903564453,238.38595581054688,10.862600326538086,-109.31520644851739,0.0
2025-10-02T17:05:06Z,2025-10-02T13:05:06Z,81.01268398761749,33.78674, -84.39273,5.891942062681359,268.1495566004887,3.2293559964033176,61.87590218886223,1.3787496883022268,1.5643943681253276,264.80454969814036,232.7744903564453,238.38595581054688,10.862600326538086,23.6436643548832,0.0
2025-10-02T17:05:12Z,2025-10-02T13:05:12Z,87.01357197761536,33.78676, -84.39285,5.82828560832928,268.25983490329236,3.147992248168655,72.72675908472584,1.4992006609134232,1.8237663253775445,283.45244943065893,232.7744903564453,238.38595581054688,10.862600326538086,29.730529544167844,0.0
2025-10-02T17:05:19Z,2025-10-02T13:05:19Z,94.01463007926941,33.78674, -84.39296,5.391737131999131,268.1754200719297,3.0,83.56503248301702,1.2802270212379674,1.596349686798619,262.45054317828937,232.7744903564453,238.38595581054688,10.862600326538086,-178.65147289057924,0.0
