Waypoints
Date,Name,Latitude,Longitude,Altitude (m),Notes
2025-10-03T13:14:39Z,Start,33.81055, -84.37157,255.45641541760415,"",""
2025-10-03T13:21:05Z,End,33.81062, -84.37166,253.54925121553242,"",""
Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2025-10-03T13:14:39Z,2025-10-03T09:14:39Z,0.0,33.81055, -84.37157,2.0852398751325776,255.45641541760415,3.0,0.0,0.0,0.0,280.47892708085624,320.26171875,325.885009765625,10.0,0.001302052158679346,0.0
2025-10-03T13:14:40Z,2025-10-03T09:14:40Z,0.512113094329834,33.81055, -84.37157,2.100197645223006,255.45641541760415,3.0,0.0,0.0,0.0,280.47892708085624,18.28034210205078,23.90363311767578,10.0,0.00130192789174794,0.0
2025-10-03T13:15:08Z,2025-10-03T09:15:08Z,28.51787304878235,33.81057, -84.37144,2.060604856557077,255.26268028561026,3.0,12.30667447504339,0.7643137245530164,0.9411648881458694,280.47900786287755,353.3908386230469,359.0141296386719,10.0,52.10802776561564,0.0
2025-10-03T13:15:11Z,2025-10-03T09:15:11Z,31.520013093948364,33.81058, -84.37132,2.0519610891652276,255.23377576377243,3.0,23.71003544798679,0.7625784410506761,0.9411648881458694,280.4790817149551,354.59002685546875,0.21332471072673798,10.0,-149.55260165600959,0.0
2025-10-03T13:15:14Z,2025-10-03T09:15:14Z,34.51096498966217,33.81058, -84.37119,2.0445501387222245,255.29515056218952,3.0,35.321736847200924,0.80150982100032,2.2571764959737153,280.4791562173033,350.836181640625,356.45947265625,10.0,-61.63004085501148,0.0
2025-10-03T13:15:17Z,2025-10-03T09:15:17Z,37.51036500930786,33.81060, -84.37106,2.038196175129031,254.99255003780127,3.0,47.343639041114116,0.7612982677938839,1.9141144325468975,280.4792343714762,349.671875,355.295166015625,10.0,-48.63522365652303,0.0
2025-10-03T13:15:20Z,2025-10-03T09:15:20Z,40.510156989097595,33.81060, -84.37093,2.0327484461010266,254.69638364762068,3.0,59.54170686151154,0.9638014093141863,1.9141144325468975,280.4793129599976,349.5377197265625,355.1610107421875,10.0,-49.143129654327495,0.0
2025-10-03T13:15:23Z,2025-10-03T09:15:23Z,43.513068079948425,33.81061, -84.37080,2.0332958907744945,254.60803023632616,3.0,71.4693157254752,0.7771769897247867,2.453863162561779,280.4793897001092,355.65081787109375,1.2740931510925293,10.0,-71.70271760692879,0.0
2025-10-03T13:15:26Z,2025-10-03T09:15:26Z,46.51472008228302,33.81061, -84.37067,2.0285470644282793,254.95695886015892,3.0,83.52103464444124,0.7411139662685432,2.453863162561779,280.4794663579044,351.30804443359375,356.93133544921875,10.0,-84.42569375491455,0.0
2025-10-03T13:15:29Z,2025-10-03T09:15:29Z,49.51701009273529,33.81060, -84.37056,2.0244755392156284,255.1877747401595,3.0,93.79899986676598,0.6101837581254675,2.4097276368168337,280.47953056946983,2.737861156463623,8.361151695251465,10.0,-138.08050983346075,0.0
2025-10-03T13:15:33Z,2025-10-03T09:15:33Z,53.5200070142746,33.81060, -84.37043,2.0199354796230726,254.7544509107247,3.0,105.81302177548186,0.7491650601735773,1.8061954619802567,280.4796056285446,352.10345458984375,357.72674560546875,10.0,402.38784415886084,0.0
2025-10-03T13:15:36Z,2025-10-03T09:15:36Z,56.50971603393555,33.81060, -84.37032,2.0170921814492644,255.32086656056345,3.0,115.9705044518251,0.5873628644977392,1.8061954619802567,280.4796707708137,302.70648193359375,308.32977294921875,10.0,-5383.942253250171,0.0
2025-10-03T13:15:40Z,2025-10-03T09:15:40Z,60.5101820230484,33.81066, -84.37022,2.013921687636983,255.48045633547008,3.0,127.61766921518928,0.3344915824918595,2.03488328767198,280.4797437710317,337.8575134277344,343.4808044433594,10.0,53.657551367950134,0.0
